FI_CODE,FI_NAME_THAI,FI_NAME_ENGLISH,OPEN_DATE
896,JAPAN FINANCE CORPORATION,JAPAN FINANCE CORPORATION,25511001
897,THE HIROSHIMA BANK LIMITED,THE HIROSHIMA BANK LIMITED,25520424
898,"WELLS  FARGO BANK, NATIONAL ASSOCIATION","WELLS  FARGO BANK, NATIONAL ASSOCIATION",25530320
901,บ. บัตรกรุงไทย จำกัด (มหาชน),KRUNGTHAI CARD PUBLIC COMPANY LIMITED,25460317
905,บ. อเมริกัน เอ็กซ์เพรส (ไทย) จำกัด,AMERICAN EXPRESS (THAI) COMPANY LIMITED,25460317
906,บ. บัตรกรุงศรีอยุธยา จำกัด,KRUNG SRIAYUDHYA CARD CO.LTD.,25460317
907,บ. อิออน ธนสินทรัพย์ (ไทยแลนด์) จำกัด (มหาชน),AEON THANA SINSAP (THAILAND) PUBLIC COMPANY LIMITED,25460317
908,บ. เจเนอรัล คาร์ด เซอร์วิสเซส จำกัด,GENERAL CARD SERVICES LIMITED,25460317
909,บ. เทสโก้ คาร์ด เซอร์วิสเซส จำกัด,TESCO CARD SERVICES LIMITED,25460317
910,บ. อยุธยา แคปปิตอล เซอร์วิสเซส จำกัด,AYUDHYA CAPITAL SERVICES COMPANY LIMITED,25460317
911,บ. อีซี่ บาย จำกัด (มหาชน),EASY BUY PUBLIC COMPANY LIMITED,25440629
912,บ. แคปปิตอล โอเค จำกัด,CAPITAL OK COMPANY LIMITED,25470702
913,บ. ไทยสมาร์ทคาร์ด จำกัด,"THAI SMARTCARD CO., LTD.",25481208
914,บ. เวีย การ์ด (ประเทศไทย) จำกัด,"VIA CARD (THAILAND) CO., LTD.",25480901
915,บ. แอดวานซ์ เอ็มเปย์ จำกัด,"ADVANCED MPAY CO., LTD.",25480801
916,บ. แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED,25480624
917,บ.แอดวานซ์ เมจิคการ์ด,ADVANCED MAGIC CARD,25480823
918,บ. เพย์สบาย จำกัด,"PAYSBUY CO., LTD.",25480720
919,บ. ทรู มันนี่ จำกัด,"TRUE MONEY CO.,LTD.",25480909
920,บ. พรอมิส (ประเทศไทย) จำกัด,PROMISE (THAILAND) COMPANY LIMITED,25480926
922,บ. ซิตี้คอร์ป ลิสซิ่ง (ประเทศไทย) จำกัด,"CITICORP LEASING (THAILAND) CO., LTD.",25480916
923,บ. เอสจีเอฟ แคปปิตอล จำกัด (มหาชน),SGF CAPITAL PUBLIC COMPANY LIMITED,25481021
924,บ. โตโยต้า ลีสซิ่ง (ประเทศไทย) จำกัด,"TOYOTA LEASING (THAILAND) CO., LTD.",25490401
925,บ. วี แคช เอ็นเตอร์ไพรส์ จำกัด,"V CASH ENTERPRISE CO.,LTD.",25481021
926,บ. เอเซียเสริมกิจลีสซิ่ง จำกัด (มหาชน),ASIA SERMKIJ LEASING PUBLIC COMPANY LIMITED,25481021
927,บ. ซิงเกอร์ประเทศไทย จำกัด (มหาชน),SINGER THAILAND PUBLIC COMPANY LTD.,25481021
930,บ. วัฒนาธนสินทรัพย์ จำกัด,"WATTANA THANA SINSAP CO., LTD.",25481021
931,บ. อยุธยา แคปปิตอล ออโต้ ลีส จำกัด (มหาชน),AYUDHYA CAPITAL AUTO LIASE PUBLIC COMPANY LIMITED,25481021
932,บ. ศักดิ์สยามลิสซิ่ง จำกัด (มหาชน),SAKSIAM LEASING PUBLIC COMPANY LIMITED,25481021
934,บ. ไซเบอร์เนตติคส์ จำกัด,"CYBER NETICS CO., LTD.",25481021
935,บ. สินมิตร จำกัด,"CINMIT CO., LTD.",25481021
942,บ. เมืองไทย แคปปิตอล จำกัด (มหาชน),MUANGTHAI CAPITAL PUBLIC COMPANY LIMITED,25491101
944,บ. กรุงไทยธุรกิจลีสซิ่ง จำกัด,KTB LEASING COMPANY LIMITED,25500214
945,บ. เงินติดล้อ,"NGERN TID LOR CO.,LTD",25541001
946,บ. สามารถ ไอ-โมบาย จำกัด (มหาชน),"SAMART I-MOBILE PUBLIC CO., LTD.",25540515
947,บ. เซ็นทรัลแฟมิลี่มาร์ท จำกัด,"CENTRAL FAMILYMART CO., LTD.",25541213
948,บ. คาร์ด อัลไลแอนซ์ (ประเทศไทย) จำกัด,"CARD ALLIANCE (THAILAND) CO., LTD.",25540520
949,บ. บางกอก สมาร์ทการ์ด ซิสเทม จำกัด,"BANGKOK SMARTCARD SYSTEM CO., LTD.",25520205
950,บ. ไอพี เพย์เมนท์ โซลูชั่น จำกัด,"IP PAYMENTSOLUTION CO., LTD.",25551218
951,บ. ทูซีทูพี (ประเทศไทย) จำกัด,"2C2P (THAILAND) CO., LTD.",25540815
952,บ. เงินสดทันใจ จำกัด,FAST MONEY COMPANY LIMITED,25541104
953,บ. เจ เอ็ม ที เน็ทเวอร์ค เซอร์วิสเซ็ส จำกัด (มหาชน),JMT NETWORK SERVICES PUBLIC COMPANY LIMITED,25570204
955,บ. ทีทูพี จำกัด,"T2P CO., LTD.",25540628
956,บ. เทเลอินโฟ มีเดีย จำกัด (มหาชน),"TELEINFO MEDIA PUBLIC CO., LTD.",25480830
957,บ. เพย์เพด จำกัด,"PAYPAID CO., LTD.",25560410
958,บ. บิ๊กซี ซูเปอร์เซ็นเตอร์ จำกัด (มหาชน),"BIG C SUPERCENTER PUBLIC CO., LTD.",25560328
959,บ. รีโซลูชั่น เวย์ จำกัด,"RESOLUTION WAY CO.,LTD.",25560214
960,บ. แรบบิท-ไลน์ เพย์ จำกัด,"RABBIT-LINE PAY CO., LTD.",25551226
961,บ. สมาร์ทโมชั่น (ไทยแลนด์) จำกัด,"SMART MOTION (THAILAND) CO., LTD.",25560505
962,บ. 123 เซอร์วิส จำกัด,"123 SERVICE CO., LTD.",25560218
963,บ. แอลเอ็นดับเบิ้ลยู จำกัด,"LNW CO., LTD.",25560321
964,บ. ไทยแวน เซอร์วิส จำกัด,THAIVAN SERVICE COMPANY LIMITED,25560527
965,บ. อินเทอร์เน็ตประเทศไทย จำกัด (มหาชน),"INTERNET THAILAND PUBLIC CO., LTD.",25520513
966,บ. โอเรียลทัล ซิตี้ กรุ๊ป (ประเทศไทย) จำกัด,"ORIENTAL CITY GROUP (THAILAND) CO., LTD.",25520513
967,บ. ไปรษณีย์ไทย จำกัด,"THAILAND POST CO., LTD.",25520513
968,บ. สรรพสินค้าเซ็นทรัล จำกัด,"CENTRAL DEPARTMENT STORE CO.,LTD.",25520513
969,บ. เนชั่นแนลไอทีเอ็มเอ๊กซ์ จำกัด,"NATIONAL ITMX CO., LTD.",25520513
970,บ. เคาน์เตอร์เซอร์วิส จำกัด,"COUNTERSERVICE CO., LTD.",25520513
971,บ. เจ มาร์ท จำกัด (มหาชน),"JAY MART PUBLIC CO., LTD.",25520513
972,บ. เชฟรอน (ไทย) จำกัด,CHEVRON (THAILAND) LIMITED,25520513
973,บ. ไชโย โฮสติ้ง จำกัด,"CHAIYO HOSTING CO., LTD.",25520513
974,บ. ตลาด ดอท คอม จำกัด,"TARAD DOT COM CO., LTD.",25520513
975,บ. ทีโอที จำกัด (มหาชน),"TOT PUBLIC CO., LTD.",25520513
976,บ. เน็กซ์โพสท์ จำกัด,"NEXTPOST CO., LTD.",25520513
977,บ. เน็ตเบย์ จำกัด (มหาชน),NETBAY PUBLIC COMPANY LIMITED,25520513
978,บ. โพลาร์ เว็บแอปพลิเคชั่น จำกัด,"PORAR WEB APPLICATION CO., LTD.",25520513
979,บ. เมเจอร์ ซีนีเพล็กซ์ กรุ้ป จำกัด (มหาชน),"MAJOR CINEPLEX GROUP PUBLIC CO., LTD.",25520513
980,บ. ศูนย์ประมวลผล จำกัด,"PROCESSING CENTER CO., LTD.",25520513
